Code,Category,Sub_Category,Question,Answer,Difficulty,SubCatName,Flag
5788,Geography,Countries & Capitals,Which country has the Juno Awards?,Canada,Moderate Knowledge,Geography|Countries & Capitals,
5789,Geography,Countries & Capitals,Which country has the longest coastline?,Canada,Moderate Knowledge,Geography|Countries & Capitals,
5790,Geography,Countries & Capitals,Which country has the longest coastline?,Canada,Moderate Knowledge,Geography|Countries & Capitals,
5791,Geography,Countries & Capitals,Which country has the world's biggest land-based national park?,Canada,Specialized Knowledge,Geography|Countries & Capitals,
5792,Geography,Countries & Capitals,Which country is the largest exporter of Christmas trees?,Canada,Moderate Knowledge,Geography|Countries & Capitals,
5793,Geography,Countries & Capitals,Which is the second largest country in the world?,Canada,Common Knowledge,Geography|Countries & Capitals,
5794,Geography,Countries & Capitals,Which NATO country is the world's largest producer of uranium?,Canada,Specialized Knowledge,Geography|Countries & Capitals,
5895,Geography,Countries & Capitals,What is the legislative capital of South Africa?,Cape Town,Moderate Knowledge,Geography|Countries & Capitals,
5903,Geography,Countries & Capitals,The Pan American Highway in South America connects 17 what?,Capital Cities,Specialized Knowledge,Geography|Countries & Capitals,
5904,Geography,Countries & Capitals,What appears in the middle of the Rwandan flag?,Capital R,Specialized Knowledge,Geography|Countries & Capitals,
5914,Geography,Countries & Capitals,On what island is the Blue Grotto?,Capri,Specialized Knowledge,Geography|Countries & Capitals,
5966,Geography,Countries & Capitals,What is the capital of Venezuela,Caracas,Moderate Knowledge,Geography|Countries & Capitals,
6085,Geography,Countries & Capitals,What is the capital of Nevada?,Carson City,Moderate Knowledge,Geography|Countries & Capitals,
6251,Geography,Countries & Capitals,The Lebanese flag bears which tree?,Cedar,Moderate Knowledge,Geography|Countries & Capitals,
6317,Geography,Countries & Capitals,What was Sri Lanka previously known as?,Ceylon,Common Knowledge,Geography|Countries & Capitals,
6318,Geography,Countries & Capitals,What was the former name of Sri Lanka?,Ceylon,Moderate Knowledge,Geography|Countries & Capitals,
6321,Geography,Countries & Capitals,Which country celebrates August 11 as independence day from France?,Chad,Specialized Knowledge,Geography|Countries & Capitals,
6454,Geography,Countries & Capitals,What is the capital of West Virginia?,Charleston,Moderate Knowledge,Geography|Countries & Capitals,
6743,Geography,Countries & Capitals,Which country has the most southerly city?,Chile,Moderate Knowledge,Geography|Countries & Capitals,
6744,Geography,Countries & Capitals,The international vehicle registration letters RCH denote which country?,Chile,Specialized Knowledge,Geography|Countries & Capitals,
6745,Geography,Countries & Capitals,To which country does Easter Island belong?,Chile,Moderate Knowledge,Geography|Countries & Capitals,
6746,Geography,Countries & Capitals,To which South American country does Easter Island belong?,Chile,Moderate Knowledge,Geography|Countries & Capitals,
6747,Geography,Countries & Capitals,What country has the world's most southerly city?,Chile,Specialized Knowledge,Geography|Countries & Capitals,
6748,Geography,Countries & Capitals,What is the southernmost country in South America,Chile,Moderate Knowledge,Geography|Countries & Capitals,
6749,Geography,Countries & Capitals,Which country owns Easter Island,Chile,Moderate Knowledge,Geography|Countries & Capitals,
6756,Geography,Countries & Capitals,Which two South American countries do not share a land boundary with Brazil?,Chile & Ecuador,Specialized Knowledge,Geography|Countries & Capitals,
6757,Geography,Countries & Capitals,Which two countries form what used to be called Patagonia?,Chile and Argentina,Specialized Knowledge,Geography|Countries & Capitals,
6774,Geography,Countries & Capitals,What country consumes the most coal each year?,China,Moderate Knowledge,Geography|Countries & Capitals,
6775,Geography,Countries & Capitals,Which country grows the most fruit?,China,Moderate Knowledge,Geography|Countries & Capitals,
6776,Geography,Countries & Capitals,Which country has the most countries bordering it?,China,Specialized Knowledge,Geography|Countries & Capitals,
6777,Geography,Countries & Capitals,Which country produces the most pears each year?,China,Specialized Knowledge,Geography|Countries & Capitals,
6778,Geography,Countries & Capitals,80% of the world's population wears shoes made in what country?,China,Moderate Knowledge,Geography|Countries & Capitals,
6779,Geography,Countries & Capitals,In which country was ice cream invented?,China,Moderate Knowledge,Geography|Countries & Capitals,
6780,Geography,Countries & Capitals,There are five stars on the flag of which country,China,Moderate Knowledge,Geography|Countries & Capitals,
6781,Geography,Countries & Capitals,What country has the biggest population?,China,Common Knowledge,Geography|Countries & Capitals,
6782,Geography,Countries & Capitals,What country has the largest armed forces?,China,Moderate Knowledge,Geography|Countries & Capitals,
6783,Geography,Countries & Capitals,What country has the largest army in the world?,China,Moderate Knowledge,Geography|Countries & Capitals,
6784,Geography,Countries & Capitals,What country smokes the largest amount of cigarettes worldwide,China,Moderate Knowledge,Geography|Countries & Capitals,
6785,Geography,Countries & Capitals,Which country first grew oranges?,China,Specialized Knowledge,Geography|Countries & Capitals,
6786,Geography,Countries & Capitals,Which country has the longest land border?,China,Moderate Knowledge,Geography|Countries & Capitals,
7326,Geography,Countries & Capitals,What South American country has both a Pacific and Atlantic coastline,Colombia,Moderate Knowledge,Geography|Countries & Capitals,
7327,Geography,Countries & Capitals,Which South American country has both a Pacific and Atlantic coastline,Colombia,Moderate Knowledge,Geography|Countries & Capitals,
7328,Geography,Countries & Capitals,Which South American country has both a Pacific and Atlantic coastline?,Colombia,Moderate Knowledge,Geography|Countries & Capitals,
7345,Geography,Countries & Capitals,In Costa Rica and El Salvador you spend what,Colons,Specialized Knowledge,Geography|Countries & Capitals,
7356,Geography,Countries & Capitals,What US state is sixth alphabetically,Colorado,Specialized Knowledge,Geography|Countries & Capitals,
7361,Geography,Countries & Capitals,What two US states are rectangular?,Colorado and Wyoming,Moderate Knowledge,Geography|Countries & Capitals,
7391,Geography,Countries & Capitals,What is the capital of Ohio,Columbus,Moderate Knowledge,Geography|Countries & Capitals,
7485,Geography,Countries & Capitals,What was the name of the Democratic Republic of Congo until 1971,Congo,Moderate Knowledge,Geography|Countries & Capitals,
7492,Geography,Countries & Capitals,Beside the long winding river is the translation of which US state name,Connecticut,Specialized Knowledge,Geography|Countries & Capitals,
7493,Geography,Countries & Capitals,What is the only US state with an official state ship and hero,Connecticut,Specialized Knowledge,Geography|Countries & Capitals,
7494,Geography,Countries & Capitals,What US state's name means 'long river' in a Native American language?,Connecticut,Specialized Knowledge,Geography|Countries & Capitals,
7543,Geography,Countries & Capitals,What does CONUS stand for?,Continental United States,Moderate Knowledge,Geography|Countries & Capitals,
7613,Geography,Countries & Capitals,Which island is known to its inhabitants as Kerkyra,Corfu,Specialized Knowledge,Geography|Countries & Capitals,
7623,Geography,Countries & Capitals,What is the most southerly county of Ireland,Cork,Specialized Knowledge,Geography|Countries & Capitals,
7624,Geography,Countries & Capitals,In which Irish county is the Blarney Stone located?,Cork,Moderate Knowledge,Geography|Countries & Capitals,
7625,Geography,Countries & Capitals,"Spain, Portugal, and Algeria are the three top producers of what?",Cork,Specialized Knowledge,Geography|Countries & Capitals,
7647,Geography,Countries & Capitals,Which English county has the longest coastline?,Cornwall,Specialized Knowledge,Geography|Countries & Capitals,
7659,Geography,Countries & Capitals,From which island was Napoleon?,Corsica,Moderate Knowledge,Geography|Countries & Capitals,
7660,Geography,Countries & Capitals,In which French island territory would you find the towns Bastia and Calvi?,Corsica,Specialized Knowledge,Geography|Countries & Capitals,
7664,Geography,Countries & Capitals,Which Greek island is also a variety of lettuce?,Cos,Specialized Knowledge,Geography|Countries & Capitals,
7675,Geography,Countries & Capitals,What country is located between Panama and Nicaragua,Costa Rica,Moderate Knowledge,Geography|Countries & Capitals,
7676,Geography,Countries & Capitals,What country is situated between Panama and Nicaragua?,Costa Rica,Moderate Knowledge,Geography|Countries & Capitals,
7699,Geography,Countries & Capitals,"At 9,970,610 km², Canada is the world's second-largest what?",Country,Common Knowledge,Geography|Countries & Capitals,
7740,Geography,Countries & Capitals,What is the nickname for South Dakota,Coyote State,Moderate Knowledge,Geography|Countries & Capitals,
7798,Geography,Countries & Capitals,Which is the largest of the Greek islands?,Crete,Moderate Knowledge,Geography|Countries & Capitals,
7842,Geography,Countries & Capitals,Hrvatska is what the natives call what country?,Croatia,Specialized Knowledge,Geography|Countries & Capitals,
7933,Geography,Countries & Capitals,53 is the international dialling code for what country,Cuba,Specialized Knowledge,Geography|Countries & Capitals,
7934,Geography,Countries & Capitals,In international driving what country is identified by the letter C?,Cuba,Moderate Knowledge,Geography|Countries & Capitals,
7935,Geography,Countries & Capitals,In which country is the US naval base of Guantanamo?,Cuba,Common Knowledge,Geography|Countries & Capitals,
7936,Geography,Countries & Capitals,What is the largest island in the Caribbean?,Cuba,Common Knowledge,Geography|Countries & Capitals,
7937,Geography,Countries & Capitals,What is the largest island in the Greater Antilles?,Cuba,Moderate Knowledge,Geography|Countries & Capitals,
7938,Geography,Countries & Capitals,Where did the Bay of Pigs invasion take place,Cuba,Moderate Knowledge,Geography|Countries & Capitals,
7939,Geography,Countries & Capitals,Which country's leader does not have an official residence?,Cuba,Specialized Knowledge,Geography|Countries & Capitals,
7940,Geography,Countries & Capitals,Which country's name comes from the Arawak word for central,Cuba,Specialized Knowledge,Geography|Countries & Capitals,
8063,Geography,Countries & Capitals,What is Kipros in Greek and Kibris in Turkish called in English?,Cyprus,Moderate Knowledge,Geography|Countries & Capitals,
8064,Geography,Countries & Capitals,Copper gets its name from which Mediterranean country?,Cyprus,Specialized Knowledge,Geography|Countries & Capitals,
8065,Geography,Countries & Capitals,What island country do Cypriots call home?,Cyprus,Moderate Knowledge,Geography|Countries & Capitals,
8066,Geography,Countries & Capitals,Which country has a map on its flag,Cyprus,Moderate Knowledge,Geography|Countries & Capitals,
